year;airport;country;city;q1;q2;q3;q4;total;is_domestic;route_type;continent;origin_airport;origin_lat;origin_lon;dest_lat;dest_lon
2024;Stockholm Arlanda Airport;Portugal;Lisbon;23913.0;36667.0;42108.0;34373.0;137061;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;38.7077507;-9.1365919
2024;Stockholm Arlanda Airport;Portugal;Porto;8868.0;9424.0;9151.0;8851.0;36294;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;41.1502195;-8.6103497
2024;Stockholm Arlanda Airport;Portugal;Porto Santo;;;;180.0;180;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;33.0657845;-16.3362236
2024;Stockholm Arlanda Airport;Puerto Rico;Carolina;102.0;;;;102;False;International;Americas;Stockholm Arlanda;59.6519;17.9186;18.3640599;-65.9526682
2024;Stockholm Arlanda Airport;Qatar;Doha;63379.0;47066.0;49657.0;53047.0;213149;False;International;Asia;Stockholm Arlanda;59.6519;17.9186;25.3108807;51.5081812
2024;Stockholm Arlanda Airport;Romania;Bucharest;;;3.0;28.0;31;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;44.4361414;26.102684
2024;Stockholm Arlanda Airport;Serbia;Belgrade;15848.0;23475.0;24664.0;19585.0;83572;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;44.8153318;20.4456588
2024;Stockholm Arlanda Airport;Serbia;Nis;1603.0;8965.0;9262.0;2461.0;22291;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;43.3162736;21.9212335
2024;Stockholm Arlanda Airport;Slovakia;Bratislava;;;;331.0;331;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;48.1516988;17.1093063
2024;Stockholm Arlanda Airport;Somalia;Mogadishu;;;;52.0;52;False;International;Africa;Stockholm Arlanda;59.6519;17.9186;2.0349312;45.3419183
2024;Stockholm Arlanda Airport;Spain;A Coruna;;;;4.0;4;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;43.3466447;-8.4127029
2024;Stockholm Arlanda Airport;Spain;Alicante;68567.0;120244.0;132493.0;92851.0;414155;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;38.3436365;-0.4881708
2024;Stockholm Arlanda Airport;Spain;Barcelona;70919.0;93702.0;94430.0;67091.0;326142;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;41.3825802;2.177073
2024;Stockholm Arlanda Airport;Spain;Fuerteventura;8844.0;4336.0;3783.0;7819.0;24782;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;28.4003769;-14.0048697
2024;Stockholm Arlanda Airport;Spain;Girona;;;;174.0;174;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;41.9793006;2.8199439
2024;Stockholm Arlanda Airport;Spain;Gran Canaria;94511.0;28222.0;20631.0;79451.0;222815;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;27.9580004;-15.6062305
2024;Stockholm Arlanda Airport;Spain;Ibiza;;;1901.0;;1901;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;38.9743901;1.4197463
2024;Stockholm Arlanda Airport;Spain;Lanzarote;7336.0;748.0;;5998.0;14082;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;29.0397081;-13.6362916
2024;Stockholm Arlanda Airport;Spain;Madrid;35152.0;44216.0;44709.0;37906.0;161983;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;40.416782;-3.703507
